Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
854,trimethobenzamide,9,Considerably Effective,No Side Effects,vertigo,The trimethobenzamide significantly reduced nausea and brought it down to a perceptible but comfortable level.,None.,"After being diagnosed with temporary vertigo, I was given prescriptions for this plus Meclizine for dizziness. The two combined brought the vertigo completely under control. There were no side effects. I took the medication as originally prescribed for two days and then, at my doctor's suggestion, reduced the amount to as-needed. The trimethobenzamide made it possible to eat normally, with no uncomfortable feelings of nausea."
1472,cymbalta,8,Considerably Effective,Mild Side Effects,anxiety and depression,"a feeling of caring but not really caring. I feel like i become emotionally involved to deeply and this drug has kept me on the ""surface"" for lack of a better term.","dry mouth and nausea for first 4 days. started taking at night only and didn't notice if it was making me tired, switched to day and seems to make me feel as if i need a nap but i am studying biology right now. might switch to nights again","30mg once a day for 2 weeks, then 60mg"
2425,synthroid,3,Marginally Effective,No Side Effects,hypothyroidism after thyroidectomy,"Had to take a thyroid replacement, so it did that, but not as well as I would have expected.","Was very tired, had memory problems, weight gain.  Had trouble moving around, joint pain.","Synthroid was prescribed as thyroid replacment hormone after total Thyroidectomy due to nodules, etc from Graves disease.  Was determined that 75 mcg was the correct dose.  However after 2 years of taking Synthroid and endocrinologist unwilling to try alternative medication, I found another doctor who did some additional testing.  She found that I was low in Free t3 & t4 and the prescribed Armour thyroid.  I feel much better on this thyroid replacement than I did using Synthroid."
1434,tirosint,1,Ineffective,Moderate Side Effects,hypothyroidism,No improvement at all in symptoms.,"Over the past few months I have developed borderline hypertension, increased bruising, my hair texture and skin continue to worsen.","At 14 I was diagnosed with hyperthyroidism and this was corrected through medication (thyroid disorders are prevalent in my mother's family).  I was diagnosed with hypothyroidism (TSH 14.5) this past December and evidence of an auto immune disorder.  Since, I have been on 50mcg daily, my TSH tests normal but  there has been no improvements in symptoms."
853,nystatin,8,Considerably Effective,Moderate Side Effects,yeast diaper rash,"Daily application, cured the fungal infection despite side effects.  Over the counter use of lotrimin AG did no work, and prescription alternaitve medication using miconizole nitrate (same as in monistay) cost upwards of $200 / tube, as my insurance did not cover much of it.","caused localized eczema that had to be treated with hydrocortisone cream, which is risky as that can cause damage to the skin under the diaper area.","had to apply with each diaper change, along with a otc diaper cream or applied with aquaphor, and twice a day had to add the otc hydrocortisone cream."
3158,prednisone,10,Highly Effective,No Side Effects,hives,"This medication completely erased symptoms of the hives.  The first time that I took the medication the hives were already 2 days old, therefore, it took about 2 days for them to clear up. Now, if I ever feel the itch or see the blotchiness I can take one dose of this medicine and the hives do not progress and they are clear within one day.",There were no side effects noticed with this medication.,Take 2 tablets once per day.
824,zegerid,5,Moderately Effective,Mild Side Effects,gerd,Reduced symptoms of acid reflux,diarrhea,"The insurance company no longer covered Protonix, but substituted Omeprazole. It is not as effective at reducing episodes of acid reflux as Protonix, and the dose had to be doubled to approach the same level of efficacy."
414,imitrex,2,Moderately Effective,Severe Side Effects,migraines,"I initially switched over from Axert since my insurance covers more of the Imitrex prescription.  Imitrex just isn't right for me.  I experienced almost all of the side effects such as flushing, sensations of tingling/prickling, weakness, drowsiness, dizziness, and fast/pounding heartbeat.  On top of that the packaging is just HORRIBLE!  It comes 9 to a package.  The packaging is a tri-fold ""booklet"" that is very rigid and has individual blisters for each tablet.  It's about 6 1/2 by 3 1/2 inches, folded.  I  like to have migraine meds on me at all times so I ended up cutting the tablets out of the booklet so they would fit in my wallet or purse.  Definitely going back to Axert!","flushing, tingling, prickling, weakness, drowsiness, dizziness and pounding heartbeat.",Take 1 tablet by mouth. Max 2 tabs per 24 hours.
1592,xanax,8,Considerably Effective,Mild Side Effects,anxiety/depression,"I took alprazolam for 2 months for extreme anxiety/depression. It did work considerably in the beginning, however I would occasionally sleep the day away if taken in the morning. I would wake up from naps with a terrible disposition. It did work considerably for anxiety, initially, but it's very easy to self medicate and take considerably higher dosages then prescribed. In retrospect, I shouldn't have taken the medication because I was already on a medication to come off of opiates, because I have an addictive personality. I discussed this with my Dr. and he told me that alprazolam with suboxone worked well together. I later found out that the two drugs were dangerous to take together because of the potential of respiratory depression. Also, I've found out that benzodiazepines, especially alprazolam can be very addictive, which can have much worse withdrawal than any opiate. I think alprazolam can be a very useful medication if taken as prescribed and only taken on a prn basis. I don't believe there are any instances where alprazolam should be taken twice a day, unless you have signs of extreme anxiety all day, every day. If you have an addictive personality like myself, I think if you consider alprazolam at all, it should be used very judiciously. But exhaust other alternatives to alprazolam, like buspar, which has no addiction potential, however, I think it tends to be pretty much useless unless taken in high dosages. I suggest talking to two or more dr.s before initiating a regimen. I only say this because I know what alprazolam withdrawal entails, and there are VERY unpleasant side effects, which can be life-threatening. Also, alprazolam isn't effective for very long. It is really only good for extreme panic attacks and helps quickly, then it loses its effect within approx. 2 hours. I will also say gladly, that I have known people who have taken alprazolam for several years and only for extreme panic attacks, and none of them have developed a dependency on them. The bottom line is you know you're propensity to addiction. Use your own common sense and if prescribed, have the dr. start you on .25mg., the lowest dose, and you should see a great difference in your anxiety, especially if your body is not accustomed to benzodiazepines. Best of luck.","lethargy, loss of appetite.","I was started at .5mg, the second strength of dosage, 2 times daily. I became afraid of it because I was taking it to calm me from coming down off opiates, however, I was already on a medication to stop me from taking opiates, which was actually not supposed to be taken with alprazolam because of concerns that both medicines cause respiratory depression."
2442,wellbutrin-sr,8,Considerably Effective,Mild Side Effects,adhd,"Motivates, keeps me focused and helps me stay calm and alert in the same time.  Not as noticeable as stimulants but more steady, no ups and downs, and it works round the clock reducing the rebound from when Concerta wears off after approx 10 hours. Stabilizing effect on the mood too.",Insomnia the first week.,"Only been on Wellbutrin for three weeks and already feel a difference in my ADHD symptoms. Been on Concerta for years, but needed a drug working round the clock."
747,flonase,10,Highly Effective,No Side Effects,nasal allergies,"It cleared up my nasal allergies, my stuffy nose, post nasal drip and as an added benefit it also helped prevent getting hoarse.","There were no side effects, but I was careful to only use it when needed and not to use it for more than 1 month at a time.","I would use as directed for the first few weeks, then cut the dose in half for maintenance.  It take about a day and a half to start working and about 3 days to work fully."
476,remicade,10,Highly Effective,Mild Side Effects,crohn's with fistula in ano,Fistula is considerable reduced. Almost healed. Fluid developing in the fistula is also healed. Frequency of stool passing is also reduced to twice a day.,No major side effect. But itchy scalp and bumps like a pimples in scalp which turned into dried patches/scabs. Weight gain also. Swelling in legs after 1st dose.,"All three doses given through NS (IV). Before given Remicade, Injection efcorlin (Hydrocortisone sodium succinate) were given every time.

Ist dose given for ten minutes and waited for any reaction. No adverse effects were noticed. Then it was completed in 6 Hrs.

IInd dose was given on 2nd week. This dose was completed in 3 Hrs.

IIIrd dose was given on 6th week. This dose was also completed in 3 Hrs."
1960,lyrica,1,Ineffective,Severe Side Effects,neuropathic pain aand fibromyalgia,,"Extreme swelling of face, hands and feet, as well as, raised welts on skin","Patient was being weened off of 3600mg/day of Neurontin on to Lyrica. As the dosage taken of Neurontin lessened and that of Lyrica increased so did the side effects. Patient was taken totally off of Lyrica and, successfully, placed back on Neurontin."
456,phendimetrazine,10,Highly Effective,Severe Side Effects,weight loss,A total of 20 pounds lost in one month.,"Although I reached my goal weight, the drug made me very restless, anxious, moody.  I also experienced headaches, and falling asleep was not easy while on this drug.  Dizziness, light headed.",Take one 35mg pill in the morning and one after lunch to curb appetite.  I fond myself able to stay more active and run longer at the gym. It's a toss up if the results were worth the side effects.  It's obvious that a drug this strong that makes you want to run a marathon and not eat can't be good for you!
1709,retin-a-micro,10,Considerably Effective,Mild Side Effects,acne,"Skin became smoother, fewer breakouts","Dry skin was easily remedied with moisturizer.  My skin is aggravated by sunscreens and that concerns me, but using Clinique moisturizer has assisted with the dryness and I have not experienced any irritation.   For sun protection,  I just put on a hat when I am exposed to the sun and thus far I have had to problems with sun irritation.",I use the retin a every night as needed if there is a breakout for about 4 weeks.
766,azopt,10,Highly Effective,No Side Effects,glaucoma,"Although this is not available in generic, I am using the generic versions of alphagan and betagan in conjunction with this drug. Each drug was used independently to determine side effects before they were combined for treatment. (This was a many visit process! But the results have made it was worth it) This combination lowered my intraoccular pressure to the point that it was not necessary to have surgery - my next step since other combinations did not work.",Occasional burning when put into already irritated eyes.,"In conjunction with the above mentioned drops, I have had consistently lowered pressure with no side effects."
993,armour-thyroid,10,Highly Effective,No Side Effects,hypothryroid,"Not as tired, thicker hair, not gaining weight as easily",Have not experienced any yet,Once daily in the am
3179,desyrel,9,Considerably Effective,Mild Side Effects,poor sleep quality,"Able to sleep throughout the night without waking up, not groggy in the morning.","Dry mouth in the morning up on waking, dry eyes.","I take 50 mg at night 1/2 hour to 1 hour before I want to go to sleep. I stay asleep and don't wake up every hour like I did before starting it. I feel refreshed in the morning. 

It does make my mouth pretty dry, especially first thing in the morning. I also have dry eyes I believe as a result of taking trazodone and it makes it difficult to wear contacts because of the dryness."
2969,niaspan,10,Highly Effective,Mild Side Effects,hyperlipidemia,"My total serum cholesterol dropped from 280 to 198, LDL dropped from 225 to 122, HDL increased from 38 to 57. My triglycerides were already low due to a strict low-carb diet. My blood pressure was already low (104/70) due to verapamil therapy to prevent cluster headaches, and has remained low. I experienced no serum increases in liver enzymes, urea, or sugar.","I experience regular mild flushing, along with mild itching of ears and arms. These effects occur within an hour of dosage, and subside after 20-30 minutes. I do not take aspirin or NSAIDs, nor avoid fatty foods with the medication, as is recommended to reduce the flushing and itching.","I observe a strict Atkins Diet, with regular supplements of a good iron-free multivitamin, calcium citrate-malate, fish oil, glucosamine/chondroitin and coenzyme Q-10. Liberal use of Morton Lite Salt provides good potassium supplementation. I also use a psyllium-husk fiber supplement to consume  7g of soluable fiber daily in 3 doses, which by itself had significantly lowered my LDL and total cholesterol prior to commencing Niaspan ER therapy. I've been exercising on an elliptical ski machine for 30 mins twice per day, burning  1000 calories, and have lost  50 lbs over the last six months."
271,ditropan,4,Marginally Effective,Severe Side Effects,hyperhidrosis,The drug helped to decrease hyperhidrosis,"Significant side effects - very dry mouth, sensation of burning when urinating, dry throat, dry eyes","The drug is not intended for hyperhisdrosis. However, it was prescribed for its side effects to help my hyperhidrosis. Whilst it was somewhat helpful, the side effects were very significant such as very dry mouth, throat, dry eyes, burning sensation when urinating."
11,nasonex,1,Considerably Effective,Extremely Severe Side Effects,swollen passages from allergies,drug helped alleviate stuffy feeling without much notice of any side effects.,"in the past year i have been having reoccurring pink eye/blifuritis bouts.
around the same tine i have been plagued with repeated episodes of itching, strange rashes all over my body and my hands are full of unsightly cracks,sores and redness. now the episodes are getting closer and closer and worse each time.","topical and internal steroid meds and antibiotics to avert infection, all help just until the next outbreak which after the last bout was about a week or so."
1402,adipex-p,6,Moderately Effective,Moderate Side Effects,weight loss,I experienced a weight loss of approximately 3 kg in 1 month. The effects tapered off in the second month with the total weight loss to be estimated at 6 kg. Subsequently I felt less urge to snack,"I experienced mood swings, short temper, thirst. I was constantly thirsty and had mild tension headaches too. Often, I will flare up for no good reason but the outbursts went away swiftly. I also observed that I am quite bloated after food.","I took the medication for 3 months, 3 times a week to prevent addiction. The treatment is optional with Mediaxal another weight loss drug which I opted out. I noticed an obvious decrease in appetite during the first 3 weeks with a gradual return of my appetite. I went back for a review every 2 weeks where my blood pressure and weight was recorded. The medicine was supplemented with a low calorie diet and exercise."
3854,azelex,2,Ineffective,Severe Side Effects,acne,I was not able to use the cream long enough because of the side effects.,"The cream itched and burned severely to the point of being nearly intolerable for the first week.  The burning subsided in the second week, but not to the point of being usable on a daily basis.","Application of cream nightly 15 minutes after washing.  Product information advised waiting, but it still burned and itched when applying it after waiting.  it had no real visible effect during the time I used it.  I gave it a 2 instead of 1 because I felt a very subjective glimmer of potential improvement at the end of the period, but not enough to overcome the pain."
2090,selegiline,10,Highly Effective,No Side Effects,increase dopmaine levels,increased synaptic dopamine levels. This gave me an amazing sense of wellbeing and clarity.,Positive side effects: see above,I'm a healthy 36 year old with no medical conditions. I use Selegiline (L-deprenyl) purely to optimise my health and fortunately use a loop hole to import the drug into the country which does not have restriction importation for personal use
676,zantac,5,Marginally Effective,No Side Effects,ulcer,the benifits of the treatment were that it stopped the pain. i could sleep at night. i could eat food that i could not eat before. because i was not in consent pain i could get on with my life,"there were not any treatment side affects except that you had to take two tablets twice a day for the rest of your life. this was not a cure. I THEN FOUND OUT THAT THER WAS AN AUSTRAILAN  DOCTER WHO FOUND THAT IN SOME CASES ULCERS WERE ONLY A BACTERIA AND A SIMPLE TEST WOULD FIND THAT OUT AND IF THAT WAS THE CASE A SHORT COUSE OF ANTIBOTICS AND AN ANTI ACID FOR THE SAME PERIOD OF TIME WHISLT YOU WERE TALIKG THE COURSE OF ANTIBOTICS, WOULD GET RID OF THE PROBLEM, WHICH IN MY CASE IT DID. NOW I DONT HAVE TO TAKE DRUGS EVERY DAY!",tablet twice a day
3970,norvasc,9,Considerably Effective,No Side Effects,high blood pressure,Small pill easy to take.  Easy to pack in a travel pack in an alternate pill case without taking the entire bottle.,"I did not experience any side effects that I am aware of.  Of course, I am concered over having high blood pressure which has to be directly related to work-related stress.","Apparently, this will be long-term treatment.  My doctor and I had several conversations over high blood pressure.  Though I have increased my exercise routines, there is not a positive impact on my blood pressure.  After 1 month on Norvasc, my blood pressure was within the normal range."
2822,wellbutrin,10,Highly Effective,Mild Side Effects,depression; intrusive suicidal impulses,"Within a couple of weeks, intrusive thoughts of suicide abated.  Over the next few weeks mood lifted some.  At the time I started I was desperate & hopeless was quite surprised it helped as much as it did without usual side ffects of anti depressants-sexual sidew effects & weight gain.  Didn't cure depression but definitely helped severe suicidality.  And I'm against anti-depressants as 1st run for treating mood disorders but there is a place for them when exercise, sprirtual practice, good nutrition & life balance not enough-but these life practices absolutely indispensible for any health issue esp. Mood disorders.","Does have light stimulant effect which is great for the extreme fatige of depression But/And any activating chemical can also increase hostile, angry feelings so tweek the dose for you so you don't get over reactive with others.","Take 300 mg wellbutrin xr daily in morning, eat healthy whole foods, exercise-outdoors as much as possible, prayer; meditation, yoga, get rest, restructure negative beliefs into positive beliefs-cognitive & spiritual approaches"
2497,remeron,10,Highly Effective,No Side Effects,insomnia,"Remeron (mertazapine) was a god send for me. I had chronic insomnia with sleep deprivation for 12 years and tried to treat it with OTC drugs. It appeared one night, not slowly over time. I tried several meds without success before my doctor suggested Remeron. It took a few weeks to take effect but it has been 100% successful for about 17 years now. I used to take up to 45 mg. at bedtime but have ratcheted it down to 15 mg. over the years. If I miss one dose I know it. Falling asleep is no problem. My problem is staying asleep for more than 2 or 3 hours night after night after night. . . Not fun.",No side effects. No hangover. No morning drowsiness.,Take about 1/2 hour before bedtime.
2877,avita,9,Considerably Effective,Mild Side Effects,acne,A considerable decline in the occurrence of new spots accompanied treatment. The acne has been practically eliminated if a good cleansing routine is maintained. Red marks have faded. Blackheads have cleared up. The overall result is clearer and smoother skin.,Occasional mild skin irritation particularly in the beginning of treatment.,Applied a small amount to the face once daily in the afternoon. Applied sunscreen during the day to compensated for the increase in photosensitivity
3342,lipitor,10,Highly Effective,No Side Effects,incontinence,regulated bladder control to allow patient (me) to return to a regular life and not have to modify all movements by where the nearest bathroon is located.,none,Single capsule taken in morning.
592,sulindac,4,Marginally Effective,Moderate Side Effects,baker's cysts behind both knees,"After about a week, I started to see a small reduction in the size of the fluid-filled cysts behind my knees.  Over the 3-week treatment period, there was about a 25 percent reduction in the size of the cysts. There was also a mild reduction in the pain associated with the cysts. 

Another benefit was that I did not get upper GI pain & bleeding with this med, whereas NSAIDs had been causing black stools due to GI irritation & bleeding.","Within about 30 minutes of taking each dose of Sulindac, I experienced a colicky pain under my ribs on the right side.  The pain was not extreme, but it was noticeable and unpleasant.  Duration lasted 2 - 4 hours each time.  This side effect persisted throughout the entire treatment period.","Due to longstanding knee osteoarthritis, I am prone to fluid-filled cysts on the backside of my knees.  The cysts cause pain, swelling, and reduced circulation to the lower leg.  The cysts interfere with walking gait as well.

In past I had used NSAIDs to reduce the inflammation of these cysts, however due to NSAID-related side effects, this class of drug was put off-limits by my physician.  His recommendation was that I try a drug in the pro-NSAID class, which is less irritating to the stomach.

In retrospect, I think that for me, the Sulindac was a trade-off: less stomach irritation exchanged for liver irritation with the Sulindac.  Due to this side-effect, my doctor reduced frequency of medication to once per day.  My response to the Sulindac was less robust than I had hoped for -- much less improvement than I had experienced previously with NSAIDs -- and it also took a long time (3 weeks) to reach the level of improvement that in past I would achieve in 3 days with OTC NSAIDs."
3254,cleocin,1,Marginally Effective,Severe Side Effects,vaginal bacteria,"for vaginal bacteria with foul smell, I dont know if the treatment is effective it is only 2 days but then I started yo have to side effects",rashes and swelling of my face and eyes. Got also dryness of skin,300 mg 2x a day for 7 days took it for 2 days only from 9-1-11 to 9-2-11
200,adderall,8,Highly Effective,Moderate Side Effects,"depression, ptsd fatigue","Definitely noticed right away that I had more energy, better concentration and motivation, and could actually focus for the first time in years. By taking this med, it caused a chain reaction that got my life moving forward again: I started by becoming able to get out of bed and get things done around the house. Had more motivation to help myself in other ways - better nutrition, better exercise, self care, etc. Then my body and mind began to kick in and heal itself more. Now the med simply acts as a support for me, but I am ready to start tapering down my dose!!!","Had trouble losing too much weight at first. But that levels off after a while. Had problems sleeping when the dose was increased too quickly. I have to make sure I take the full amount for the day at least before 12 noon or I will have trouble sleeping that night. Sometimes I get shaky/nervous, dry mouth, feel dehydrated.",Take 2 pills about an hour before I wake up in the morning. Then I take the third pill between 11 am-12 noon.
3416,aricept,1,Ineffective,Severe Side Effects,short term memory loss,"none, only took one pill and found that the side effects do not warrant continued use.","severe head pain, feel like throwing up, felt lousy for 12 hours after taking first pill.","Will not take pill again.  The side effects of loosing a nights sleep, having severe head pain, and feeling like throwing up will result in not taking another pill as this drug does not agree with patient."
2106,renova,4,Marginally Effective,Moderate Side Effects,"acne, wrinkles","I experienced a some evening of skin tone, somewhat smaller pores and very slight improvement in crowes feet","itchy skin, burning sensation on face, rash and scaling/peeling","During the first 6 to 8 weeks, my skin became scaly, itchy and rashy. After 8 weeks my skin began to tolerate the cream a little better but it continued to itch and burn even after one year of use. I never used more then a pea size per the insturctions but the itching, dryness and rash never went away. It was very difficult to wear an type of makeup that didnt irritate my skin, while using this product. I made the mistake of using this product under my eyes, i learned later that this cream is not intended for use under eyes and due to the drying affect of this product, it did make the fine llines under my eyes appear worse.

I did not see any improvement of the acne on my cheek, and in fact, suffered worse acne while using Tretinoin."
1406,adipex-p,10,Highly Effective,Mild Side Effects,chronic fatigue syndrome,"Improved ability to focus and concentrate. Memory retention better. Improved energy. Mainly helped relieve brain fog that is common with Chronic Fatigue/Fibromyalgia. Especially noticeable while working. Able to function better and work longer, more like my old self.","Weight loss, decreased appetite. If take too late in the day, may affect ability to sleep.","Take 1 pill in the morning to treat ADD-like symptoms that started after a car accident. Took several years to get Chronic Fatigue/Fibromyalgia diagnosis and quite awhile after that before this medicine was prescribed. Tried most of the standard ADD medications to help with brain fog but bad side effects, worked for awhile then stopped, or no effect. Many doctors not comfortable perscribing this medication for ADD or ADD-like symptoms since it's a weight-loss medicine. I usually only take this medication during the work week and give my body a break on teh weekends."
3632,retin-a,7,Moderately Effective,Mild Side Effects,adult acne,It was fairly successful for the acne.  I found it especially good at spot treatment if I felt a cystic type coming up.,"It did dry my skin out and there was peeling in some places, like the sides of my nose.  I had to be very careful about not getting it any where around my lips, because if I did I would quickly get a fever blister on my mouth. I don't know why this happened, but it was bothersome.","I applied it after cleansing skin at night and made sure my skin was completely dry before I put any on and I used a small amount, which was sometimes hard to spread around."
2828,singulair,8,Considerably Effective,No Side Effects,chronic cough and allergies,"singulair dramatically reduced coughing spells and allergy symptoms, but if just one treatment was missed the allergy symptoms reaccured.",none,Take one 20 mg tablet each night before bedtime.
2486,mirtazapine,2,Ineffective,Moderate Side Effects,clinical depression,"Did improve my appetite, which was suffering as a result of the depression.",Mild weight gain. Period of tiredness for two hours or so after each dose. Very hard to wake up in the mornings.,"Was prescribed as an alternative to Citalopram. Had virtually no effect on my depression whatsoever. In the period of winding down the Citalopram dose then the 7 weeks on Mirtazapine I went from mildly depressed / just about coping to suicidal, unable to cope and deeply depressed most of the time. Would advise anyone who gets rapidly worsening depression after a med change to see the doctor again far sooner than I did."
946,dysport,7,Moderately Effective,Mild Side Effects,wrinkles,I had deepening frown lines on my forehead and between my eyes....the benefits were a decrease of the lines (wrinkles).,"I had a mild headache for a couple of days after my injections.  Also, my forehead felt ""numb"" as if I had had a tooth pulled. Now, when I raise my eyebrows, my eyebrows go up and the middle of my forehead stays still.  It looks a bit strange.",I had 300 units of Dysport injected into my forehead in about 5 different places. I was told to not bend over or lie back for a few hours or touch my forehead after the treatment.  I followed my doctors instructions. It has been over a week since the injections and there is still a mild wrinkle between my eyes.  The wrinkle is definitely not as deep looking as it was but it is still visible. I would probably have this done again although the results are not perfect.
3806,cialis,5,Highly Effective,Moderate Side Effects,ed,Long lasting erection,"achy joints similar to flu symptoms during the next couple of days after taking. Not bad, but definitely annoying. Aspirin helps relieve, but I did not like having to take a pill to counteract another pill.  I do not have the same symptom with Viagra.",Taken as needed for ED.  It is effective in as little as 30 minutes.  Time depends if taken on empty stomach or after a meal.
3010,cipro,1,Highly Effective,Extremely Severe Side Effects,puncture wound,"Cleared up the infection but any number of other drugs would have done just as well, without the awful side effects.","Cipro can have a devastating effect on connective tissue.  In my case, loss of elasticity, leading to wrinkled, drying, aging  skin on face, neck, hands; suddenly visible veins; heightened sun sensitivity; easy bruising; weakened, painful knee and ankle joints, insomnia. I subsequently discovered that these are all too common ""rare"" side effects, among many others, and none of them emerged until a few days after finishing the dose.   Unless you have no other options, this is a medication to be avoided.","I subsequently discovered that I was prescribed this drug for a condition that any number of other drugs would have cleared up just as as easily and was given way too much of it as well.  The whole experience has been a nightmare.  Nearly a year later, still suffering after-effects.  Do not take this drug without checking it out. Cipro was black-boxed by the FDA less than a week after I finished my prescription, and MDs still hand it out like candy."
835,tarka,9,Highly Effective,Mild Side Effects,hypertension,very effectively reduced my blood pressure to a good level and has amitianed it for the 2+ years I have been taking it.,"My lungs feel heavy at times and that produces a hacking cough. It's not all the time, just occasionally. It hasn't been bothersome enough to ask about changing it to something else yet.","I'm taking one pill that contains two different blood pressure medications.
It has been very effective in controlling my hypertension."
215,lo-ovral,9,Highly Effective,Mild Side Effects,acne and contraception,"Within days, the acne disappeared. When taken continuously for 3-5 months at a time, the acne never reappeared and the hirsutism decreased substantially.  We then added laser hair removal and stopped the spironolactone.",Spironolactone caused occasional leg cramping.  The Lo-ovral caused some water retention.,"Spironolactone was taken 50 mg a day and then increased after 3 months to 100 mg twice a day.  The Lo-ovral was taken each day.  The laser hair removal was every 6 weeks.  The acne was completely under control.  When the OCP was stopped, the acne returned."
1846,yasmin,8,Considerably Effective,Mild Side Effects,"birth control, menstrual cramps","the treatment benefits were reducing acne, helping me to have a more clear complexion.  Also it GREATLY reduced my cramps.  And, to this day, I am not pregnant :)  The benefits of this ""pill"" were far greater than any others I have tried, and I have tried several different brands.","The treatment side effects were minimal.  In fact I can't think of any.  I have tried many different types of the pill where it had side effects on my face, barely reduced cramps, however this one didn't have any of those side effects and I continue to use it.","it was one pill a day, as any birth control pill is usually taken.  I took them properly and that is probably one reason why the benefits were great.  However I took the other brands at the right time to and they didn't work as well."
392,hydrochlorothiazide,9,Considerably Effective,Mild Side Effects,hypertension,"Decreased blood pressure, decreased cardiac load, decreased kidney load","Increased urine output, potassium deficit","Hydrochlorothiazide was prescribed by my doctor as a first line treatment of my mild hypertension (140/90).  In addition he recommended exercise, weight loss and dietary restriction of sodium.
This drug did lower my blood pressure to 130/90 which he thought was satisfactory for now."
27,alprazolam,8,Considerably Effective,Mild Side Effects,"anxiety, panic attck, nervousness",I experienced Xannax more effective for anxiety and panic attacks.,"I didn't feel any alarming side effects from this medication even after using for  over 8 years. 
The feeling of dependency doesn't bother as we are sometimes addict of certain foods also.","First I experienced the state of anxiety and panic at the age of 20. Starting with Librium I was successful to managed and control my mood and over sensitive nature.
Regular exercise, food and lively hobbies helped to relieve me form all sedative and tranquilizers.
It was, probably, job related stress and tension what triggered the state of anxiety and panic.
Now the above-mentioned medications are helping to perform my activities, mostly as a normal person."
3612,retin-a,8,Considerably Effective,Mild Side Effects,skin damage,Retin-a provided the benefits of reducing sun damage of the skin. It reduced some fine wrinkles and helped with uneven skin.,The side effects experienced were mainly red irritation and peeling. There was also an occasional bout of acne breakouts. The use also led to a couple of times when the skin felt like it had been burnt or had a sever sunburn.,Treatment was for sun damage to the skin. The retin-a was applied daily in the evening. It was advised not to use it durig the day since it could lead to excessive exposure of the sun.
756,flonase,8,Considerably Effective,No Side Effects,allergies,significant supression of allergy symptoms with the exception of the eyes.,none,"In a very allergenic location the previous week I had suffered very bad allergies, watery, itchy eyes, itchy face and inner ears, intense bouts of sneezing, running sinuses. With the combination of flonase and zyrtec the symptoms were eliminated with the exception of watery eyes."
2263,lexapro,6,Moderately Effective,No Side Effects,peri-menopausal syptoms,"I was experiencing a lot of hot flashes and I think they have subsided in frequency, duration and intensity since starting to take the Lexapro.",I haven't noticed any side effects.,I take one tablet each morning.  I have been on this treatment for one month.
478,remicade,5,Considerably Effective,Moderate Side Effects,severe ulcerative colitis,"I have been suffering from ulceratibe colitis for the past three years, was put on steroids long term, then pentasa granules, then imuran which i had a severe reaction too then cellecept tablets which i had a reaction too also. This drug infliximab is given over two hours into a vein then you are monitored for side effects for approx an hour. My severe pain, feeling of passing out, unable to do a bowel motion without feeling like i am going to die is gone.","I have had two doses of infliximab over a four week period my next dose has been pushed out to four weeks. I have has pressure up the back of my neck into my head, pains and aches all over, shivers at night after the first two doses Its been two weeks since my last infusion and my next one is in two weeks time I have since broken out in water blisters on my leg unsure if this is side effect. Overall before i started this drug i was in severe pain, severe diarrhoea, wanting to pass out with pain, and generally unable to live day to day. The pain has eased 70%, the diarrhoea is gone and I feel like living again.","The first infusion is given to you in hospital over a two hour period, you are then monitored for a futher hour, the second infusion i received two weeks later same procedure, the next infusion is scheduled for four weeks later and then four weeks after that to maintain."
1458,cymbalta,5,Considerably Effective,Mild Side Effects,"chronic neck/back pain, chronic tension headache",Quickly helped with depression and nearly eliminated pain soon after starting.  Effects lasted for roughly four months.,"Initially euphoria (lasted about three days), afterwards urinary hesitancy (stopped after about two months), dry mouth, mild fatigue, anorgasma.","Started using Cymbalta 60mg to primarily for chronic tension headaches and neck/back pain and the resulting depression from chronic pain.  Worked wonderfully for about three months then slowly lost effectiveness.  Tried increasing to 90mg with little response.  Ended up switching antidepressants and finding different means to treat the pain.
It was a good drug when it worked, but unfortunately it didn't last very long.  It also acts on serotonin like an SSRI and started my dependency on SSRIs."
1898,doxycycline,6,Moderately Effective,Mild Side Effects,rosacea,It did help with the red blotchy skin that the rosacea was causing and the heat that I would feel when the rosacea would kick in. It also helped with pimples and welts that would sometimes come on during a bought of the rosacea.,Side effects were it caused my skin to become extremely dried out. Used more moisturizer which did not seem to help. I also became very sensitive to the sun which was a problem because even if i used sunscreen I would become blotchy looking.,The Dr. had me take one 100mg pill 2 x a day. Said I would need to use for an indefinite amount of time. After 5 months I went off of them because I couldn't be outside much.
1911,avelox,1,Ineffective,Extremely Severe Side Effects,bronchitis,I had taken avalox several times before because I had become immune to other antibiotics.  Avalox seemed to work previously.,I almost died.  I made it thru the first set of double doors at the emergency room and colapsed.  I believe that this triggered me to get Rheumatoid Arthritis five months later.,Chemo likely for the rest of my life.
